"mz"	"present"	"occurrence"	"purity"	"rsd_all"	"blank_flag"	"flags"	"A02_Polar_Daph_WAX1_Phenyl_LCMS_Pos_DIMS.mzML"	"intensity"	"medianPurity"	"meanPurity"	"sdPurity"	"cvPurity"	"sdePurity"	"medianPeakNum"
114.060611798	1	1	1	NA	1	1	198789.380033	198789.380033	0.587654559853229	0.581625354213572	0.0975252976340506	16.7677177288663	0.00913408100343336	2
114.091348217	1	1	1	NA	0	0	124409.253192	124409.253192	0.355032840058285	0.362720879644043	0.0836017647425517	23.0485117990987	0.00783002266810646	3
115.02403131	1	1	1	NA	1	1	188274.209762	188274.209762	0.513198212496667	0.513431383418797	0.0783785534672811	15.2656335390681	0.00734082411097527	4
115.036614475	1	1	1	NA	0	0	127907.266378	127907.266378	0.324359405402982	0.325959326140579	0.0580788048976741	17.8178073888354	0.00543957846207829	4
116.070609913	1	1	1	NA	1	1	274092.595943	274092.595943	0.923865189068942	0.918830079326919	0.0708250956107547	7.70818208984157	0.00663337796529498	2
116.985932133	1	1	1	NA	0	0	339563.880208	339563.880208	0.736239003902325	0.734968161025745	0.0687695710590068	9.35680954710063	0.00644086045224249	2
117.102272268	1	1	1	NA	1	1	123295.1875	123295.1875	0.219765910215446	0.222248756194198	0.0556343325520559	25.032460700677	0.00521063265050732	2
118.086249301	1	1	1	NA	1	1	2757662.51425	2757662.51425	1	1	0	0	0	1
119.018937696	1	1	1	NA	0	0	293270.206003	293270.206003	0.678891274567318	0.687365227994183	0.0721154339315699	10.491574347165	0.00675422922163654	2
119.089606756	1	1	1	NA	1	1	120996.805775	120996.805775	0.249486912941528	0.24847021493129	0.0616833481586703	24.8252484410366	0.00577717486962644	2
120.065520547	1	1	1	NA	1	1	116547.678977	116547.678977	0.280673692677218	0.288629826580862	0.0612246895541415	21.2121838825237	0.00573421755549029	10
122.924530119	1	1	1	NA	1	1	120229.772702	120229.772702	0.371026961803689	0.370126510457238	0.0747097394177748	20.1849198333515	0.00699720819256535	3
123.044065449	1	1	1	NA	0	0	113950.890185	113950.890185	0.344445937760475	0.343644077856044	0.06428958778518	18.7081902258509	0.00602127157520354	3
127.097842781	1	1	1	NA	1	1	168682.057956	168682.057956	0.760036610596117	0.772396214538335	0.152956595264434	19.8028670241291	0.0143256976912512	4
130.049888813	1	1	1	NA	1	1	174680.456305	174680.456305	0.246135268323487	0.244019295946869	0.0358828604436615	14.7049274543741	0.00336073779704993	4
130.086277477	1	1	1	NA	1	1	453421.277412	453421.277412	0.64682268990575	0.640699704090661	0.0473046186487518	7.3832746209694	0.00443048346487037	3
133.034606664	1	1	1	NA	0	0	160509.307453	160509.307453	0.577511479221656	0.57642006152746	0.0863925241729566	14.9877719286911	0.00809140123671197	3
134.018873266	1	1	1	NA	1	1	114568.315878	114568.315878	0.775530750233624	0.774458257745816	0.143171481899996	18.4866621884463	0.0134092378570661	3
138.055002848	1	1	1	NA	1	1	1378587.42544	1378587.42544	0.939777143694279	0.940567128676653	0.0346544331462571	3.68441890958009	0.00324568503931908	2
139.05833172	1	1	1	NA	1	1	109961.307651	109961.307651	0.409203044713343	0.425142604793386	0.0907144202020262	21.3374098900562	0.00849618388670776	6
140.068255642	1	1	1	NA	1	1	1875073.24452	1875073.24452	1	1	0	0	0	1
144.032332934	1	1	1	NA	1	1	156621.003906	156621.003906	0.900310483623927	0.896240825444777	0.106328038928419	11.8637799026452	0.0099585332633663	1
146.117592527	1	1	1	NA	1	1	683848.086623	683848.086623	0.926768818620773	0.921116018658565	0.0507228608197572	5.50667448967239	0.00475063117666176	3
147.076446266	1	1	1	NA	1	1	264800.860746	264800.860746	0.176029459327267	0.177734760678407	0.0228929606540298	12.8804070552368	0.00214412221336623	4
147.112849453	1	1	1	NA	1	1	1121145.55482	1121145.55482	0.783967167495454	0.784009740571401	0.0340165089475682	4.33878652104199	0.00318593796398341	2
148.060459626	1	1	1	NA	1	1	116024.97526	116024.97526	0.570580018375097	0.578742805210666	0.119192284406969	20.5950351924604	0.0111633802425577	3
150.013744188	1	1	1	NA	1	1	111347.68716	111347.68716	0.542245990357787	0.549552301281277	0.106412972458828	19.3635750793377	0.0099664880173172	4
155.042743683	1	1	1	NA	1	1	114733.116039	114733.116039	0.28091849963284	0.287443020496775	0.0651167939106395	22.6538093699757	0.00609874652723942	3
155.067898667	1	1	1	NA	0	0	228083.781798	228083.781798	0.652206354900575	0.650792229132364	0.0699657923578053	10.7508647500422	0.00655289684183913	3
156.042187741	1	1	1	NA	1	1	831094.136239	831094.136239	0.423638246016194	0.424820666261804	0.0628137767412167	14.7859512800883	0.00588304920676837	2
156.076788517	1	1	1	NA	1	1	1114541.30866	1114541.30866	0.580448560697185	0.579107879944027	0.0624983718741941	10.7921812219573	0.00585350883443266	2
158.964093617	1	1	1	NA	0	0	153295.048061	153295.048061	0.549270675100352	0.551429298590236	0.0789844526090575	14.3235865070982	0.00739757176491899	3
158.996498108	1	1	1	NA	1	1	113123.795573	113123.795573	0.368433667446294	0.370282851684923	0.0695921467674038	18.7943207336592	0.00654667847397109	3
160.036930553	1	1	1	NA	1	1	499082.84841	499082.84841	0.946039620125511	0.952912278532206	0.0492208355515063	5.16530604761672	0.00460995362117366	2
161.029515736	1	1	1	NA	1	1	113125.906367	113125.906367	0.498303176155193	0.526839793886887	0.142466226507944	27.0416601329344	0.0133431846376924	4
162.05015772	1	1	1	NA	1	1	120333.465791	120333.465791	0.0391247202457137	0.039301661545697	0.00879499987138026	22.3781884161668	0.000823727209239758	2
162.112529688	1	1	1	NA	1	1	2485050.31798	2485050.31798	1	0.991225837974742	0.0197814924041914	1.9956594800443	0.00185270651176768	2
163.074508947	1	1	1	NA	1	1	208610.26369	208610.26369	0.454675924041276	0.44869498507455	0.0903086351337558	20.1269544206631	0.00845817863295837	3
163.115825653	1	1	1	NA	1	1	158881.512876	158881.512876	0.344670042898324	0.344170436550424	0.0649570859341511	18.8735228351417	0.00608378850476188	3
164.029436874	1	1	1	NA	1	1	119773.759668	119773.759668	1	0.903111720358456	0.114989457575424	12.7325839077565	0.0107697494446617	1
168.076780942	1	1	1	NA	1	1	126403.997862	126403.997862	1	0.923881784718535	0.0973936978748585	10.5417921952569	0.00912175555670666	2
169.058389363	1	1	1	NA	1	1	382921.811404	382921.811404	0.543397423776353	0.543970273741105	0.0420512906614076	7.73043908671769	0.00393846421921721	2
169.094771268	1	1	1	NA	1	1	311290.046327	311290.046327	0.434322943716433	0.436679223270712	0.0448284087860919	10.2657526159199	0.00419856516248379	2
175.119016145	1	1	1	NA	1	1	7601661.33772	7601661.33772	1	1	0	0	0	1
176.01085181	1	1	1	NA	1	1	255039.29756	255039.29756	0.351456978584063	0.345076780479999	0.0580014808931461	16.8082827284022	0.00543233640552474	4
176.122303076	1	1	1	NA	1	1	405471.700795	405471.700795	0.538697196313905	0.538215986122438	0.0550535259704128	10.228890889519	0.0051562351301433	3
177.024652269	1	1	1	NA	1	1	114879.949653	114879.949653	0.489503237312643	0.509619082139246	0.140084205349516	27.4880219872223	0.0131200879157053	4
178.058702837	1	1	1	NA	1	1	256024.959293	256024.959293	0.799332380184091	0.813422598151414	0.0911908107954118	11.2107545330868	0.00854080195376134	2
179.090333089	1	1	1	NA	1	1	130385.596612	130385.596612	0.79752200784076	0.81595880831636	0.141888012763329	17.3891146608367	0.0132890299587656	1
184.094429289	1	1	1	NA	1	1	224193.336496	224193.336496	0.861941976700166	0.855684885428654	0.112637314079846	13.1634105028536	0.0105494510221855	2
185.114838196	1	1	1	NA	0	0	147387.696087	147387.696087	0.509211155867994	0.511979495669225	0.0990178643778446	19.3402011634109	0.00927387268694097	4
189.159780842	1	1	1	NA	1	1	119325.78018	119325.78018	0.595599193051158	0.617356336305044	0.16114524174594	26.1024682617521	0.0150926347023149	3
191.040339821	1	1	1	NA	1	1	357072.530154	357072.530154	0.438921623855374	0.437276687998471	0.0454116607099595	10.3851090067985	0.00425319171013099	2
191.076727616	1	1	1	NA	1	1	348157.686815	348157.686815	0.42379862901993	0.423458784190081	0.0377737667970493	8.92029359345951	0.00353783740321121	2
197.100945724	1	1	1	NA	1	1	867855.230811	867855.230811	1	1	0	0	0	1
199.169297741	1	1	1	NA	0	0	125815.853411	125815.853411	0.869232706494202	0.88493359555514	0.122713913062713	13.867019364965	0.0114932109858206	2
200.04067605	1	1	1	NA	1	1	258161.05551	258161.05551	0.739825609025706	0.749454559308988	0.0762270622998031	10.1710052134563	0.00713931850085494	4
203.052659152	1	1	1	NA	1	1	333508.398575	333508.398575	0.937389589505528	0.933214567612098	0.0625622088045635	6.70394687093744	0.00585948771075656	2
205.118290148	1	1	1	NA	1	1	199074.126096	199074.126096	1	0.955814588106895	0.0716805236217549	7.49941720012107	0.00671349613908821	1
207.01425626	1	1	1	NA	1	1	213745.547218	213745.547218	0.500876681101174	0.499313293118114	0.0614200841377332	12.3009110681145	0.00575251793495548	4
