"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","blank","sample","LCMS_1","LCMS_2","LCMSMS_1","LCMSMS_2","blank_median_I","sample_median_I","blank_RSD_I","sample_RSD_I","blank_coverage","sample_coverage","blank_RSD_RT","sample_RSD_RT","rsd_all_RT","grpid","blank_valid","sample_valid","all_sample_valid","mzmin_full","mzmax_full","rtmin_full","rtmax_full","mzmin_full.1","mzmax_full.1","rtmin_full.1","rtmax_full.1","xcmsIDx"
"732",443.10731403082,443.106286359822,443.108341701818,293.51817,293.494584,293.541756,2,2,0,2953816.13054934,2984186.64324618,NA,NA,2969001.38689776,NA,0.723313756969485,NA,1,0,0.0113640804867938,NA,0.0113640804867938,732,1,0,0,442.959442138672,443.135803222656,280.247376,306.448338,442.959442138672,443.135803222656,280.247376,306.448338,1
"733",443.237661461911,443.237615005665,443.237707918157,137.784423,137.234202,138.334644,2,2,0,9692109.87827828,9601672.92186669,NA,NA,9646891.40007248,NA,0.662893179745255,NA,1,0,0.564744536109512,NA,0.564744536109512,733,1,0,0,443.188354492188,443.249298095703,123.105438,151.081812,443.188354492188,443.249298095703,123.105438,151.081812,1
"734",444.085212354183,444.084549553979,444.085875154387,35.8359834,35.4782508,36.193716,2,2,0,4747526.31527214,4966888.25421833,NA,NA,4857207.28474523,NA,3.19344646974884,NA,1,0,1.41173827707207,NA,1.41173827707207,734,1,0,0,443.974517822266,444.101684570312,22.1378934,47.1993852,443.974517822266,444.101684570312,22.1378934,47.1993852,1
"735",444.243995419851,444.243942198175,444.244048641528,254.197464,254.152812,254.242116,2,2,0,18541301.0835444,19107229.3997063,NA,NA,18824265.2416253,NA,2.12582932128818,NA,1,0,0.0248418937755659,NA,0.0248418937755659,735,1,0,0,444.204162597656,444.245086669922,243.277194,265.075332,444.204162597656,444.245086669922,243.277194,265.075332,1
"736",444.244489947736,444.24445679822,444.244523097251,336.579633,336.418662,336.740604,2,2,0,14482740.3779357,14516431.1727812,NA,NA,14499585.7753585,NA,0.164301172929219,NA,1,0,0.0676355159460242,NA,0.0676355159460242,736,1,0,0,444.242645263672,444.253448486328,324.080904,345.950658,444.242645263672,444.253448486328,324.080904,345.950658,1
"737",444.253389618755,444.253389618755,444.253389618755,137.345256,137.345256,137.345256,1,1,0,1591254.37524421,NA,NA,NA,1591254.37524421,NA,NA,NA,0.5,0,NA,NA,NA,737,1,0,0,444.251770019531,444.280914306641,123.178992,149.757516,444.251770019531,444.280914306641,123.178992,149.757516,1
"738",444.969908388749,444.963951985833,444.975864791664,34.0587453,33.8570268,34.2604638,2,2,0,618271.502412908,625602.996846644,NA,NA,621937.249629776,NA,0.833548631057535,NA,1,0,0.837591156012315,NA,0.837591156012315,738,1,0,0,444.870208740234,445.024047851562,19.957131,44.9561388,444.870208740234,445.024047851562,19.957131,44.9561388,1
"739",445.228165847342,445.228145811182,445.228185883503,106.638519,105.907296,107.369742,2,2,0,11727659.0291586,11726307.3184533,NA,NA,11726983.1738059,NA,0.00815046625203425,NA,1,0,0.969729787525595,NA,0.969729787525595,739,1,0,0,445.226898193359,445.228546142578,92.741802,119.145318,445.226898193359,445.228546142578,92.741802,119.145318,1
"740",446.084675060803,446.06417619139,446.093783226114,33.5694915,31.923024,34.9703976,4,2,2,2309450.00709159,2306949.18718584,3742277.1909716,3952024.03053531,2308199.59713872,3847150.61075345,0.0766115164421321,3.85514963135009,1,1,0.87543362316834,0.308266327307161,4.8050969175594,740,1,1,1,445.957000732422,446.123443603516,19.521132,43.373643,445.957000732422,446.123443603516,19.521132,43.373643,1
"741",446.259925892973,446.259905391388,446.259946394559,278.504043,278.472066,278.53602,2,2,0,58784523.9857999,58919530.466054,NA,NA,58852027.2259269,NA,0.16221021125629,NA,1,0,0.0162375765166258,NA,0.0162375765166258,741,1,0,0,446.157409667969,446.260772705078,265.85001,291.14076,446.157409667969,446.260772705078,265.85001,291.14076,1
